numEurope	CIS	codeEurope	fullNumber	numSPC	date	year	url	fileName
1	67112526	EU/1/95/001	20201124150019	150019	2020-11-24	2020	http://ec.europa.eu/health/documents/community-register/2020/20201124150019/anx_150019_fr.pdf	anx_150019_fr.pdf
1	60749100	EU/1/95/001	20201124150019	150019	2020-11-24	2020	http://ec.europa.eu/health/documents/community-register/2020/20201124150019/anx_150019_fr.pdf	anx_150019_fr.pdf
1	65913137	EU/1/95/001	20201124150019	150019	2020-11-24	2020	http://ec.europa.eu/health/documents/community-register/2020/20201124150019/anx_150019_fr.pdf	anx_150019_fr.pdf
1	65329591	EU/1/95/001	20201124150019	150019	2020-11-24	2020	http://ec.europa.eu/health/documents/community-register/2020/20201124150019/anx_150019_fr.pdf	anx_150019_fr.pdf
1	62483399	EU/1/95/001	20201124150019	150019	2020-11-24	2020	http://ec.europa.eu/health/documents/community-register/2020/20201124150019/anx_150019_fr.pdf	anx_150019_fr.pdf
2	60385433	EU/1/95/002	20200109147476	147476	2020-01-09	2020	http://ec.europa.eu/health/documents/community-register/2020/20200109147476/anx_147476_fr.pdf	anx_147476_fr.pdf
2	68257752	EU/1/95/002	20200109147476	147476	2020-01-09	2020	http://ec.europa.eu/health/documents/community-register/2020/20200109147476/anx_147476_fr.pdf	anx_147476_fr.pdf
2	60509781	EU/1/95/002	20200109147476	147476	2020-01-09	2020	http://ec.europa.eu/health/documents/community-register/2020/20200109147476/anx_147476_fr.pdf	anx_147476_fr.pdf
3	64488861	EU/1/95/003	20200827149145	149145	2020-08-27	2020	http://ec.europa.eu/health/documents/community-register/2020/20200827149145/anx_149145_fr.pdf	anx_149145_fr.pdf
4	60433369	EU/1/96/004	20191029146332	146332	2019-10-29	2019	http://ec.europa.eu/health/documents/community-register/2019/20191029146332/anx_146332_fr.pdf	anx_146332_fr.pdf
5	62173094	EU/1/96/005	20210218150599	150599	2021-02-18	2021	http://ec.europa.eu/health/documents/community-register/2021/20210218150599/anx_150599_fr.pdf	anx_150599_fr.pdf
5	63479642	EU/1/96/005	20210218150599	150599	2021-02-18	2021	http://ec.europa.eu/health/documents/community-register/2021/20210218150599/anx_150599_fr.pdf	anx_150599_fr.pdf
5	69594306	EU/1/96/005	20210218150599	150599	2021-02-18	2021	http://ec.europa.eu/health/documents/community-register/2021/20210218150599/anx_150599_fr.pdf	anx_150599_fr.pdf
5	63227488	EU/1/96/005	20210218150599	150599	2021-02-18	2021	http://ec.europa.eu/health/documents/community-register/2021/20210218150599/anx_150599_fr.pdf	anx_150599_fr.pdf
6	69705653	EU/1/96/006	20201016149533	149533	2020-10-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20201016149533/anx_149533_fr.pdf	anx_149533_fr.pdf
6	60932500	EU/1/96/006	20201016149533	149533	2020-10-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20201016149533/anx_149533_fr.pdf	anx_149533_fr.pdf
6	66390405	EU/1/96/006	20201016149533	149533	2020-10-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20201016149533/anx_149533_fr.pdf	anx_149533_fr.pdf
6	63886517	EU/1/96/006	20201016149533	149533	2020-10-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20201016149533/anx_149533_fr.pdf	anx_149533_fr.pdf
7	65228400	EU/1/96/007	20200116146821	146821	2020-01-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20200116146821/anx_146821_fr.pdf	anx_146821_fr.pdf
7	64052173	EU/1/96/007	20200116146821	146821	2020-01-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20200116146821/anx_146821_fr.pdf	anx_146821_fr.pdf
7	65132156	EU/1/96/007	20200116146821	146821	2020-01-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20200116146821/anx_146821_fr.pdf	anx_146821_fr.pdf
7	69304169	EU/1/96/007	20200116146821	146821	2020-01-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20200116146821/anx_146821_fr.pdf	anx_146821_fr.pdf
7	67759549	EU/1/96/007	20200116146821	146821	2020-01-16	2020	http://ec.europa.eu/health/documents/community-register/2020/20200116146821/anx_146821_fr.pdf	anx_146821_fr.pdf
